target_word,PoS,example_1,example_2,index1,index2,label
carry,V,You must carry your camping gear .,Sound carries well over water .,2,1,F
go,V,Messages must go through diplomatic channels .,Do you think the sofa will go through the door ?,2,6,F
break,V,Break an alibi .,The wholesaler broke the container loads into palettes and boxes for local retailers .,0,2,F
cup,N,He wore a jock strap with a metal cup .,Bees filled the waxen cups with honey .,8,4,T
academy,N,The Academy of Music .,The French Academy .,1,2,F
set,V,Set the table .,To set glass in a sash .,0,1,F
starch,V,Starch clothes .,She starched her blouses .,0,1,T
take,V,Do you take sugar in your coffee ?,A reading was taken of the earth 's tremors .,2,3,F
avoid,V,I try to avoid the company of gamblers .,We avoided the ball .,3,1,T
clearance,N,"He got clearance to travel to America , even though he had previous links to terrorists .","The plane got clearance from air traffic control , and we were off .",2,3,T
come,V,Come out of the closet !,He came singing down the road .,0,1,T
coverage,N,"Before laying sod on that clay , the ground needs two inches of coverage with topsoil .",The dictionary 's coverage of standard English is excellent .,13,3,T
death,N,Her death came as a terrible shock .,He had two deaths on his conscience .,1,3,F
despite,N,The despite in which outsiders were held is legendary .,She wanted neither favor nor despite .,1,5,F
school,N,A school of small glittering fish swam by .,The divers encountered a huge school of mackerel .,1,5,T
go,V,We should go farther in this matter .,She went through a lot of trouble .,2,1,T
action,N,The United Nations must have the power to propose and organize action without being hobbled by irrelevant issues .,Recent federal action undermined the segregationist position .,11,2,T
fall,V,Fall by the wayside .,The cities fell to the enemy .,0,2,F
work,V,This dough does not work easily .,Work the phones .,4,0,F
shock,N,The armies met in the shock of battle .,The train hit the buffers with a great shock .,5,8,F
play,V,This speech did n't play well with the American public .,Play football .,4,0,F
make,V,What do you make of his remarks ?,Make a dress .,3,0,F
end,N,The so-called glorious experiment came to an inglorious end .,The end was exciting .,8,1,F
break,N,There was a break in the action when a player was hurt .,He was up two breaks in the second set .,3,4,F
life,N,It was a heavy play and the actors tried in vain to give life to it .,The life of this milk carton may be thousands of years in this landfill .,13,1,F
person,N,There was too much for one person to do .,"Each person is unique , both mentally and physically .",6,1,T
answer,V,Answer the door .,She answered the door .,0,1,T
do,V,All you ever do is surf the Internet .,A ' B ' grade does n't suffice to get me into medical school .,3,5,F
play,V,Play fair .,Play football .,0,0,F
see,V,What message do you see in this letter ?,We had to see a psychiatrist .,4,3,F
buff,N,To strip to the buff .,Swimming in the buff .,4,3,T
boy,N,She made the boy brush his teeth every night .,Most soldiers are only boys in uniform .,3,4,T
picture,N,She was the picture of despair .,The very picture of a modern general .,3,2,T
answer,V,She did n't want to answer .,This may answer her needs .,5,2,F
head,N,Tickets are $ 5 per head .,He is two heads taller than his little sister .,5,3,F
break,V,Break into tears .,"If the vase falls to the floor , it might break .",0,10,F
die,V,To die to pleasure or to sin .,She died from cancer .,1,1,T
peak,N,The stock market reached a peak in September 1929 .,Voltage peak .,5,1,T
civilization,N,A hermit does n't much care for civilization .,Early Mayan civilization .,7,2,T
carry,V,These bonds carry warrants .,She carries her ideas to the extreme .,2,1,F
shot,N,He wanted a shot at the champion .,I caught him with a solid shot to the chin .,3,6,F
body,N,The body of the car was badly rusted .,"Penny was in the scullery , pressing the body of her new dress .",1,8,F
cut,V,Cut a ticket .,Cut orders .,0,0,T
recognition,N,She seems to avoid much in the way of recognition or acknowledgement of feminist work prior to her own .,Give her recognition for trying .,9,2,F
shift,V,You have to shift when you go down a steep hill .,He shifted in his seat .,3,1,F
cube,N,A stock cube .,A sugar cube .,2,2,T
follow,V,Let 's follow our great helmsman !,He followed his lecture with a question and answer period .,2,1,F
apply,V,I apply this rule to get good results .,Apply a magnetic field here .,1,0,T
fall,V,Fall asleep .,She fell ill .,0,1,T
make,V,She may not make the grade .,Make a stir .,3,0,F
head,N,Under the head of minor Roman poets .,They tracked him back toward the head of the stream .,2,6,F
head,N,A reduction in the assessment per head of sheep .,200 head of cattle and 50 head of horses .,6,1,T
give,V,Give a divorce .,The wall gave in .,0,2,F
drive,V,To drive sheep out of a field .,Drive the cows into the barn .,1,0,T
fall,V,Fall by the wayside .,To fall a tree .,0,1,F
gob,N,He ′s always stuffing his gob with fast food .,She 's got such a gob on her – she′s always gossiping about someone or other .,5,5,T
scale,N,The scale of the map .,The scale of the model .,1,1,T
stand,V,We had to stand for the entire performance !,On the pedestal stood a statue .,3,3,T
make,V,She may not make the grade .,He made twenty bucks playing poker last night .,3,1,F
furniture,N,The woman does not even have one stick of furniture moved in yet .,There was only one piece of furniture in the room .,9,6,T
give,V,Give a yelp .,This student gives promise of real creativity .,0,2,F
cut,V,Cut a movie scene .,Cut a Ping-Pong ball .,0,0,F
extension,N,Most BASIC files use the filename extension .BAS .,A text file will have a file extension of .txt .,6,7,T
seat,N,He was elected to a seat in the Senate .,He dusted off the seat before sitting down .,5,4,F
make,V,Make enemies .,What do you make of his remarks ?,0,3,F
make,V,We should make Cincinnati by 7 tonight .,Make the bed .,2,0,F
take,V,Do you take me for a fool ?,"Looking at him as he came into the room , I took him for his father .",2,11,T
tea,N,Tea has fragrant white flowers .,Iced tea is a cooling drink .,0,1,F
take,V,Take sick .,I estimate the trip will take about ten minutes .,0,5,F
way,N,Do you know the way to the airport ?,He said he was looking for the way out .,4,7,T
head,N,The head of the compass needle is pointing due north .,200 head of cattle .,1,1,F
lift,V,Lift the box onto the table .,I lifted the books .,0,1,T
space,N,The astronauts walked in outer space without a tether .,The space between his teeth .,5,1,F
score,N,What was your score on your homework ?,The score was 7 to 0 .,3,1,F
work,V,How does your idea work in practice ?,The voting process does n't work as well as people thought .,4,5,T
double,N,He could be Gingrich 's double .,Saddam Hussein was rumored to have many doubles .,5,7,T
space,N,The space between his teeth .,The architect left space in front of the building .,1,3,T
fix,V,"Fix breakfast for the guests , please .",That 'll fix him good !,0,2,F
head,N,Matters came to a head yesterday .,The head of the column advanced boldly .,4,1,F
show,V,He bet $ 2 on number six to show .,I showed the customer the glove section .,8,1,F
take,V,I take it you 're not going ?,He was often taken to be a man of means .,1,3,T
cut,V,The employer wants to cut back health benefits .,Cut trenches .,4,0,F
cot,N,A roller cot ( the clothing of a drawing roller in a spinning frame ) .,A cot for a sore finger .,2,1,T
run,V,These dyes and colors are guaranteed not to run .,The sale will run for ten days .,8,3,F
see,V,Now I see !,I want to see whether she speaks French .,2,3,F
drive,V,Drive the cows into the barn .,Their debts finally drove them to sell the business .,0,3,F
bit,N,A bit of lint .,The horse was not accustomed to a bit .,1,7,F
stir,V,Stir the soil .,Stir emotions .,0,0,F
trombone,N,This trombone is very expensive .,Jim plays the trombone very well .,1,3,T
fall,V,To fall a tree .,Night fell .,1,1,T
trace,V,Trace your path .,Trace the outline of a figure in the sand .,0,0,F
take,V,Take a pulse .,A reading was taken of the earth 's tremors .,0,3,T
carry,V,I will carry the secret to my grave .,I carry a lot of life insurance .,2,1,T
body,N,"Penny was in the scullery , pressing the body of her new dress .",Heavenly body .,8,1,F
hold,V,I hold with those who say life is sacred .,Hold all calls to the President 's office while he is in a meeting .,1,0,F
build,V,Build a reputation .,Build detergents .,0,0,F
smooth,V,Smooth the way towards peace negotiations .,Smooth the surface of the wood .,0,0,F
carry,V,We carry a very large mortgage .,The troops carried the town after a brief fight .,1,2,F
war,N,The war against crime .,"The "" war on terror "" is a campaign against terrorist crime .",1,2,T
reply,V,Please reply to my letter .,He replied that he was not sure .,1,1,T
house,N,The children were playing house .,She felt she had to get out of the house .,4,9,F
position,N,What position does he play ?,Stop running all over the field and play your position !,1,9,T
play,V,Play sports .,Who 's playing now ?,0,2,T
circus,N,The circus will be in town next week .,He ran away from home to join the circus .,1,8,T
break,V,Break a law .,Her voice broke to a whisper when she started to talk about her children .,0,2,F
woodenness,N,There was a certain woodenness in his replies .,He criticized the woodenness of the acting .,4,3,T
wreck,N,Thanks to that quack I am a human wreck .,The house was a wreck when they bought it .,8,4,T
catch,V,Catch the mood .,Do n't catch your meaning .,0,2,F
blip,N,Renewed jitters in the wake of a blip in retail sales .,The market had one bad blip today .,7,5,T
vegetate,V,The fields vegetate vigorously .,The bacterial growth vegetated along .,2,3,F
drag,N,Peeling potatoes is a drag .,He took a drag on his cigarette and expelled the smoke slowly .,4,3,F
score,N,He tried to blame the victim but his success on that score was doubtful .,Settling a score .,11,2,F
head,N,She gave great head .,They tracked him back toward the head of the stream .,3,6,F
volume,N,Please turn down the volume on the stereo .,The kids played their music at full volume .,4,7,T
top,N,He removed the top of the carton .,He could n't get the top off of the bottle .,3,5,T
stand,V,We had to stand for the entire performance !,There stood on the corner a statue .,3,1,T
breath,N,He took a deep breath and dived into the pool .,I could feel the runner 's breath on my shoulder .,4,6,F
take,V,Take steps .,Take action .,0,0,T
stuff,N,What is all that stuff on your bedroom floor ?,You do n't have the stuff to be a United States Marine .,4,5,F
